i,y,x0,x1,x2,x3,f,f0,f1,f2
1,11.16923165,0.8966972,0.78285134,0.147845707,0.450485437,11.949251,0.63773679,4.786037,6.525477
2,2.81289625,0.26550866,0.26750821,0.658877609,0.81425175,6.451341,1.48141126,1.707476,3.262453
3,12.89677332,0.3721239,0.21864528,0.185069965,0.928777226,11.578412,1.84076823,1.548506,8.189138
4,5.67931657,0.57285336,0.51679684,0.954378137,0.147481045,4.760073,1.94784424,2.81115,0.001078931
5,5.58390921,0.90820779,0.26895059,0.897848492,0.749821665,2.350657,0.56878697,1.712409,0.0694605
6,-1.08822678,0.20168193,0.18116833,0.943697054,0.97565735,2.624154,1.18410365,1.436683,0.003368028
7,5.42296982,0.89838968,0.51857614,0.723690751,0.974792463,5.996618,0.62764874,2.821172,2.547797
8,12.12770167,0.94467527,0.56278294,0.370357066,0.35062557,8.627058,0.34586799,3.08196,5.19923
9,4.73361018,0.66079779,0.12915685,0.78101754,0.393949057,4.500783,1.75019298,1.294745,1.455845
10,6.28846164,0.62911404,0.2563676,0.011149509,0.950951009,3.519955,1.83771291,1.669852,0.01239006
11,5.74212274,0.06178627,0.71793528,0.940308712,0.10664832,4.593681,0.38578134,4.203303,0.004596965
12,8.31893312,0.20597457,0.96140994,0.993749226,0.934760117,8.045951,1.20573163,6.84022,1.113467e-08
13,9.75558731,0.17655675,0.10014085,0.357405745,0.3461621,7.927155,1.05332458,1.221747,5.652084
14,4.77672978,0.68702285,0.76322269,0.747635063,0.533060606,8.378382,1.66460298,4.60179,2.111989
15,9.07733128,0.38410372,0.94796635,0.792909024,0.538794299,9.757093,1.86889005,6.658756,1.229446
16,10.50118085,0.76984142,0.81863469,0.705859006,0.71471795,9.288652,1.32337097,5.141112,2.824169
17,9.39613544,0.49769924,0.30829233,0.475825039,0.4057905,6.713875,1.99994776,1.85259,2.861337
18,9.51094349,0.71761851,0.64957946,0.494654526,0.152788141,7.976369,1.55052127,3.666212,2.759636
19,14.57664644,0.99190609,0.95335545,0.308052449,0.340232761,14.189195,0.05085003,6.730914,7.407431
20,13.84213043,0.38003518,0.95373265,0.695012246,0.626654848,11.560997,1.85963433,6.735993,2.965369
21,4.01348829,0.77744522,0.3399792,0.822793306,0.057372678,3.985759,1.28717518,1.973796,0.7247879
22,3.30791397,0.93470523,0.26247411,0.434717641,0.85166764,5.518526,0.40738802,1.690371,3.420766
23,5.32102646,0.21214252,0.16545393,0.514732653,0.212645346,5.371352,1.23642321,1.392232,2.742697
24,6.59715111,0.65167377,0.32216806,0.663010968,0.76824843,6.924498,1.77721401,1.904722,3.242562
25,10.54140718,0.1255551,0.51012521,0.143166587,0.136487586,9.801288,0.76858798,2.773889,6.25881
26,13.19100516,0.26722067,0.92396847,0.344487394,0.32486514,13.952654,1.48861657,6.346712,6.117325
27,10.05793476,0.38611409,0.5109597,0.405763582,0.621076294,8.75203,1.87335094,2.778523,4.100156
28,8.59519286,0.01339033,0.30570736,0.085311006,0.255982249,4.472509,0.08410913,1.843037,2.545363
29,-0.62216877,0.38238796,0.04646089,0.932571928,0.634875799,2.971121,1.86502392,1.097376,0.008721294
30,4.78339582,0.86969085,0.41785626,0.838384067,0.485672107,3.615242,0.79607812,2.306457,0.5127066
31,5.97559292,0.340349,0.8540015,0.879433296,0.938176917,7.421099,1.7536687,5.517931,0.1494993
32,2.74792987,0.48208012,0.34723068,0.935712468,0.857501537,4.006259,1.99683149,2.00263,0.006797633
33,1.36442364,0.59956583,0.13144232,0.072460633,0.370883538,4.996836,1.90295426,1.300677,1.793205
34,8.5129587,0.49354131,0.37448686,0.378759441,0.31420183,9.031537,1.99958831,2.114829,4.91712
35,8.12399776,0.1862176,0.63142023,0.537864923,0.82853436,7.454733,1.10443186,3.53545,2.814852
36,4.180736,0.82737332,0.39007893,0.105050139,0.451841513,7.035071,1.03225363,2.181817,3.821001
37,10.64556454,0.66846674,0.68962785,0.801687706,0.315878412,6.768308,1.72636805,3.971944,1.069996
38,5.91947101,0.79423986,0.68941341,0.739641746,0.097808538,7.438531,1.20465639,3.970241,2.263634
39,-0.02837553,0.10794363,0.55490062,0.052149013,0.064900537,4.529177,0.66530506,3.033755,0.8301163
40,6.47628441,0.72371095,0.42962441,0.482169573,0.689457366,6.704386,1.52605956,2.361386,2.81694
41,9.11981645,0.41127443,0.45272006,0.920517841,0.668050604,4.416103,1.92280599,2.47302,0.02027701
42,6.5736505,0.82094629,0.30644326,0.041528429,0.904546648,3.381009,1.06662871,1.845752,0.4686287
43,15.37791835,0.64706019,0.57835394,0.293991799,0.30169327,12.823027,1.79032274,3.179449,7.853256
44,11.76007428,0.78293276,0.9103703,0.500850487,0.932808705,10.182133,1.26059575,6.176431,2.745106
45,7.47125178,0.55303631,0.14260408,0.609748935,0.201983017,6.548321,1.97230245,1.330039,3.24598
46,11.99986632,0.52971958,0.41504763,0.26424905,0.792378756,12.876005,1.99128897,2.293537,8.591178
47,3.40434814,0.78935623,0.21092575,0.42309861,0.224630509,6.419962,1.22900771,1.524782,3.666172
48,3.38772657,0.0233312,0.42875037,0.366563616,0.030756571,7.833619,0.14646304,2.357262,5.329894
49,0.94523284,0.47723007,0.13268998,0.942505322,0.862034041,3.302578,1.99488509,1.303926,0.003766328
50,5.49038436,0.73231374,0.46009645,0.123723565,0.685107505,9.055905,1.49056867,2.509774,5.055562
51,7.92279437,0.69273156,0.94295706,0.070032679,0.94207491,9.898633,1.64445339,6.592378,1.661801
52,8.04262349,0.47761962,0.76197386,0.964317038,0.67585376,6.585646,1.99505854,4.590311,0.0002768303
53,8.81413433,0.86120948,0.93290983,0.442510108,0.843120148,10.583504,0.84467634,6.46123,3.277598
54,6.65099972,0.43809711,0.4706785,0.37027238,0.361894185,9.727883,1.96229904,2.563458,5.202126
55,8.9332625,0.24479728,0.60358807,0.141185087,0.392365885,10.877716,1.3909106,3.344028,6.142777
56,0.55366801,0.07067905,0.48498968,0.054190429,0.567687398,3.98994,0.44044931,2.63789,0.9116011
57,6.73238981,0.09946616,0.10880632,0.657828069,0.095152134,5.124875,0.61484307,1.243105,3.266926
58,3.37773672,0.31627171,0.24772683,0.578161917,0.193784072,6.381311,1.67598827,1.641243,3.06408
59,4.41579452,0.51863426,0.49851453,0.987101764,0.588066393,4.706793,1.9965739,2.710218,7.983496e-07
60,8.23162217,0.66200508,0.37286671,0.603792401,0.751504168,7.072705,1.74650937,2.107987,3.218209
61,12.2021394,0.40683019,0.93469137,0.064949919,0.867238787,9.799088,1.9149357,6.484293,1.39986
62,14.44645621,0.91287592,0.52398608,0.162109082,0.371795737,10.658635,0.5406072,2.851862,7.266165
63,2.82402451,0.29360337,0.31714467,0.47539792,0.79881455,6.344477,1.59408509,1.885682,2.864711
64,5.57621489,0.45906573,0.27796603,0.001932835,0.058314393,3.727121,1.98348512,1.743565,7.082423e-05
65,8.74303432,0.33239467,0.78754051,0.441459143,0.623435709,9.856119,1.7290944,4.831133,3.295891
66,14.14431334,0.65087047,0.70246251,0.260929737,0.356641407,14.505482,1.77952338,4.075221,8.650737
67,5.7407279,0.25801678,0.16502764,0.938413745,0.587927932,2.845847,1.44937892,1.391045,0.005423395
68,4.59456029,0.47854525,0.06445754,0.715833284,0.913784642,5.808823,1.99545868,1.137594,2.675771
69,14.5352121,0.76631067,0.75470562,0.163085478,0.199442183,13.176487,1.33992263,4.524066,7.312498
70,6.65302245,0.08424691,0.62041003,0.476188018,0.369083624,6.840138,0.52318056,3.458448,2.858509
71,4.20717703,0.87532133,0.16957677,0.690256723,0.671408328,5.18735,0.76350118,1.403759,3.02009
72,8.7126164,0.33907294,0.06221405,0.46089518,0.768144551,5.891298,1.74979976,1.132501,3.008997
73,1.7620826,0.83944035,0.10902927,0.955146738,0.522248276,2.21123,0.96658729,1.24366,0.0009830268
74,6.21969588,0.34668349,0.38171635,0.712540122,0.828075018,6.644687,1.77245613,2.145629,2.726602
75,8.87299101,0.33377493,0.16931091,0.397147933,0.527096195,7.480234,1.73343646,1.403013,4.343785
76,10.30456871,0.47635125,0.29865254,0.117720612,0.501754825,8.474204,1.99448283,1.817215,4.662506
77,9.17897857,0.89219834,0.19220954,0.240116273,0.41997332,11.025727,0.66446382,1.468761,8.892503
78,5.0495178,0.86433947,0.25717002,0.863630567,0.362298283,2.755771,0.82680947,1.672534,0.2564275
79,5.44333781,0.38998954,0.18123182,0.435976402,0.12342891,6.715068,1.88173928,1.436865,3.396464
80,4.86358969,0.7773207,0.47731371,0.497868052,0.298161529,6.636476,1.28777391,2.597703,2.751
81,3.25339068,0.960618,0.77073704,0.691927672,0.27667649,7.919664,0.24681362,4.671471,3.001379
82,4.58820898,0.43465948,0.02778712,0.760313282,0.791456031,4.879191,1.95801063,1.057148,1.864032
83,12.00763318,0.71251468,0.52731078,0.155401223,0.778181302,11.373705,1.57057676,2.870888,6.93224
84,6.69020103,0.39999437,0.88031907,0.849457093,0.143787281,8.105141,1.9021021,5.816148,0.3868912
85,6.3020433,0.32535215,0.37306337,0.946817819,0.515526151,3.817732,1.70643538,2.108816,0.002480606
86,6.85407392,0.75708715,0.04795913,0.58841919,0.597240485,5.61377,1.38237828,1.100669,3.130722
87,5.45154972,0.20269226,0.13862825,0.502250815,0.505843024,5.251744,1.18921357,1.319505,2.743025
88,15.42679402,0.71112122,0.32149212,0.189779918,0.386099633,11.811387,1.57598239,1.902149,8.333256
89,-0.8957103,0.12169192,0.15483161,0.001836858,0.426098101,2.10915,0.74612279,1.362966,6.084742e-05
90,3.42811374,0.24548851,0.13222817,0.877578062,0.011759735,2.856833,1.39402819,1.302723,0.1600821
91,9.83351185,0.14330438,0.22130593,0.134111338,0.91933177,8.142098,0.87029841,1.556768,5.715032
92,1.04280081,0.23962942,0.2263808,0.022741224,0.079439693,3.033486,1.36739591,1.572649,0.09344096
93,1.16018039,0.05893438,0.13141653,0.939136706,0.507374255,1.673889,0.36818363,1.30061,0.005095422
94,16.6976682,0.64228826,0.98156346,0.292948723,0.820171617,16.80938,1.80348573,7.121561,7.884334
95,9.16178508,0.87626921,0.32701373,0.164326574,0.598395418,10.051796,0.75799314,1.923271,7.370531
96,8.46275286,0.77891468,0.5069395,0.399102556,0.424153526,8.323363,1.28009491,2.756272,4.286996
97,7.81236631,0.79730883,0.68144251,0.459575412,0.559310271,8.12171,1.18920811,3.90745,3.025051
98,4.97135376,0.45527445,0.0991691,0.434030849,0.789094472,6.633881,1.98028956,1.219375,3.434216
99,7.45822281,0.41008408,0.11890256,0.517009826,0.167715258,5.935134,1.9207347,1.268462,2.745937
100,1.49398111,0.81087024,0.05043966,0.846245753,0.97045173,2.646995,1.11964017,1.106143,0.4212117
101,8.00550964,0.60493329,0.92925392,0.055164286,0.473503098,9.258246,1.89230645,6.414159,0.951781
102,9.48403644,0.65472393,0.67371223,0.554177061,0.929743206,8.521366,1.76834227,3.847503,2.90552
103,9.43203334,0.35319727,0.09485786,0.688275238,0.90093927,6.041491,1.79104324,1.208906,3.041542
104,3.9231448,0.27026015,0.49259612,0.658057554,0.750882188,7.445597,1.50130258,2.678327,3.265968
105,6.19988702,0.99268406,0.46155184,0.663342725,0.676568772,5.803861,0.04596335,2.517091,3.240807
106,7.63053161,0.63349326,0.37521653,0.472234203,0.648013446,6.835833,1.82668196,2.117917,2.891234
107,8.55892711,0.21320814,0.99109922,0.969528166,0.07324687,8.500476,1.24167898,7.258683,0.0001139164
108,11.53301569,0.12937235,0.17635071,0.402197063,0.423558418,6.412469,0.79067493,1.422906,4.198888
109,9.983361,0.47811803,0.81343521,0.849552104,0.530824364,7.469106,1.99527609,5.087927,0.3859028
110,2.48656979,0.92407447,0.06844664,0.756644907,0.942704762,3.555645,0.47254335,1.146706,1.936396
111,5.67311882,0.59876097,0.40044975,0.532601219,0.712224559,6.923574,1.90450434,2.227544,2.791526
112,3.48441691,0.97617069,0.14114433,0.874149661,0.724490575,1.65672,0.14958413,1.326161,0.1809739
113,7.91910512,0.73179251,0.19330986,0.467115116,0.470128618,5.904706,1.49275024,1.471997,2.939959
114,8.62441662,0.35672691,0.84135172,0.008128455,0.120282256,7.185833,1.80080226,5.380081,0.004949694
115,7.44239145,0.43147369,0.71991399,0.727767005,0.783097671,8.651815,1.95383249,4.21997,2.478012
116,6.3463846,0.14821156,0.26721208,0.716589479,0.438157397,5.268276,0.8979544,1.706465,2.663856
117,10.88295392,0.01307758,0.49500164,0.187426371,0.43145598,11.036616,0.08214572,2.691243,8.263227
118,9.74067363,0.71556607,0.0831139,0.646067277,0.027497879,6.040835,1.55863455,1.180842,3.301358
119,3.79203535,0.10318424,0.35388424,0.54197928,0.146561843,5.50185,0.63703067,2.029457,2.835362
120,15.43458436,0.44628435,0.96920881,0.33532076,0.422595158,15.36931,1.97159004,6.947748,6.449972
121,6.55653457,0.64010105,0.62471419,0.637908723,0.767137174,8.606654,1.80938369,3.488348,3.308921
122,2.49775598,0.99183862,0.66461825,0.829201064,0.004766445,4.462254,0.05127384,3.778158,0.6328226
123,6.6558359,0.49559358,0.31248966,0.708975198,0.603595692,6.647632,1.99980837,1.868207,2.779616
124,9.75189312,0.48434952,0.40568961,0.348550351,0.905577261,10.218747,1.99758305,2.25101,5.970154
125,12.72192567,0.17344233,0.99607737,0.128327875,0.706661532,13.719702,1.03663978,7.331314,5.351748
126,14.64011501,0.75482094,0.85508236,0.388078489,0.262537159,11.540689,1.39263329,5.529872,4.618184
127,8.89965601,0.45389549,0.9535484,0.928177548,0.851076219,8.724662,1.97905756,6.733512,0.012093
128,10.73516243,0.51116978,0.81230509,0.804390771,0.333605515,8.09776,1.99876875,5.07644,1.022552
129,5.9267376,0.20754511,0.78218212,0.758696807,0.578284268,7.889186,1.21359002,4.779635,1.895961
130,2.53453751,0.22865814,0.26787813,0.957249889,0.43277313,3.025783,1.31628771,1.70874,0.0007549743
131,3.69434031,0.595712,0.76215153,0.993913879,0.051595323,6.502208,1.91026583,4.591942,9.504077e-09
132,15.24728377,0.5748722,0.98631159,0.606440995,0.729803288,12.365497,1.94492714,7.189511,3.231059
133,0.50390082,0.07706438,0.29360555,0.029377165,0.548170414,2.466621,0.47949332,1.798964,0.1881632
134,11.80320072,0.03554058,0.39935111,0.336445358,0.751221986,8.854711,0.22284435,2.222655,6.409212
135,13.19451498,0.64279549,0.81213152,0.277658087,0.050771165,15.176909,1.80210577,5.074678,8.300126
136,6.05060311,0.9286152,0.07715167,0.11719755,0.714966212,6.239598,0.44477374,1.166845,4.627979
137,-1.25586547,0.59809242,0.36369681,0.043218259,0.297694457,4.494418,1.90578263,2.069679,0.5189561
138,9.09405291,0.56090075,0.44259247,0.370309786,0.28347721,9.587785,1.96350614,2.423433,5.200846
139,9.78442588,0.52602772,0.15671413,0.336878309,0.829877127,9.754937,1.99331764,1.368107,6.393512
140,7.23421252,0.98509522,0.58220527,0.173652553,0.086395375,11.072388,0.09361525,3.204034,7.774739
141,11.67291941,0.50764182,0.97016218,0.62177328,0.042657119,12.248547,1.99942367,6.961008,3.288115
142,12.54490431,0.68278808,0.98949983,0.397843627,0.348740809,13.238179,1.67920457,7.235501,4.323473
143,-0.35596318,0.60154122,0.17645204,0.955675769,0.54233601,3.323214,1.8990983,1.423195,0.0009210723
144,9.40174404,0.23886868,0.54213042,0.653349443,0.609460864,7.604566,1.36390384,2.957253,3.283409
145,7.86841324,0.25816593,0.38430389,0.328743717,0.271372098,10.294123,1.4500245,2.156761,6.687337
146,13.45822107,0.72930962,0.67616405,0.197146714,0.205230932,13.89615,1.50308722,3.866416,8.526646
147,9.32521179,0.45257083,0.26929378,0.115342325,0.381632148,8.196675,1.97783911,1.713585,4.505252
148,2.55095657,0.17512677,0.46925094,0.995965479,0.472558115,3.601825,1.04567618,2.556149,8.25029e-10
149,9.22768788,0.74669827,0.17180008,0.379276725,0.83551795,7.738939,1.42880642,1.410015,4.900118
150,5.95389773,0.10498764,0.36918946,0.561988093,0.121471496,5.695934,0.64776137,2.092541,2.955632
151,10.45923617,0.86454495,0.72540527,0.732718018,0.675808125,7.482688,0.82563373,4.266571,2.390483
152,3.39339486,0.61464497,0.4861491,0.870805553,0.49668522,4.718759,1.8716754,2.644014,0.2030694
153,3.80644594,0.55715954,0.06380247,0.57217026,0.902237748,6.127756,1.96784046,1.136104,3.023811
154,7.24942667,0.32877732,0.78454623,0.011036071,0.551263967,6.531878,1.71756074,4.802288,0.01202951
155,3.94309753,0.45313145,0.41832164,0.906315261,0.128564677,4.33279,1.97835896,2.308605,0.04582674
156,10.18249474,0.50044097,0.98101808,0.770653632,0.442009786,10.773059,1.99999808,7.113797,1.659263
157,8.62539808,0.18086636,0.28288396,0.382504623,0.192297696,7.632117,1.07624572,1.760799,4.795072
158,11.50997782,0.5296306,0.84788215,0.094045889,0.434900622,10.540152,1.99134101,5.45081,3.098001
159,2.42057238,0.07527575,0.08223923,0.049653584,0.225133403,2.383003,0.46857524,1.178778,0.73565
160,9.43877876,0.27775593,0.88645875,0.821162318,0.961096282,8.16923,1.53200066,5.888007,0.7492224
161,5.94906438,0.21269952,0.47193073,0.829324304,0.448427465,4.440176,1.23917214,2.569886,0.6311183
162,7.74981955,0.28479048,0.10910096,0.654732876,0.777144985,6.082641,1.56003738,1.243838,3.278766
163,10.16168024,0.8950941,0.33327798,0.132827813,0.158219774,8.230158,0.64727542,1.947518,5.635364
164,16.11170578,0.44623532,0.83741657,0.341809901,0.866808583,13.523946,1.97153829,5.337904,6.214503
165,5.15606558,0.77998489,0.27684984,0.731371579,0.206145606,5.429168,1.27492113,1.739677,2.414569
166,3.13103573,0.88061903,0.58703514,0.907291416,0.177949683,4.011313,0.73263134,3.235134,0.04354798
167,7.75304547,0.41312421,0.83673227,0.696196999,0.164891146,10.207613,1.92597137,5.330604,2.951038
168,9.95939281,0.06380848,0.07115402,0.241579222,0.565268977,10.434699,0.39824078,1.152932,8.883526
169,7.26722202,0.33548749,0.70277874,0.644107229,0.727181021,9.120938,1.73877858,4.077799,3.30436
170,14.61673683,0.72372595,0.69882454,0.280750214,0.875918989,13.794266,1.52599864,4.045678,8.22259
171,3.87758986,0.33761533,0.46396238,0.957636521,0.708424384,4.275319,1.74534598,2.529255,0.0007181043
172,10.20035402,0.63041412,0.43693111,0.158395957,0.477463211,11.315253,1.83447432,2.396147,7.084632
173,5.86149452,0.84061455,0.56217679,0.418338992,0.820279994,7.815809,0.96012182,3.078226,3.777461
174,16.18263512,0.85613166,0.92848323,0.252009797,0.016612211,16.061165,0.8734874,6.40428,8.783398
175,5.39600345,0.39135928,0.23046641,0.094390268,0.996111101,6.590462,1.8846374,1.585552,3.120273
176,1.55467449,0.38049389,0.22181375,0.82771777,0.634894836,4.072572,1.86069309,1.55835,0.6535289
177,2.90788505,0.89544543,0.42021589,0.525305504,0.428475381,5.727979,0.6451864,2.317367,2.765426
178,9.16428913,0.64431576,0.33352081,0.667747627,0.028392933,6.961681,1.79794238,1.948464,3.215274
179,9.76970976,0.74107865,0.86480755,0.40827776,0.753332701,11.124194,1.45328948,5.638483,4.032421
180,2.25495632,0.60530345,0.17719454,0.842589903,0.208633975,3.779303,1.89155227,1.42531,0.4624414
181,5.00525687,0.90308161,0.49331873,0.737305468,0.999455405,5.588754,0.59959064,2.6822,2.306963
182,8.78793651,0.29373016,0.42971337,0.348224401,0.907249193,9.938314,1.59456605,2.361806,5.981941
183,3.33591639,0.19126011,0.56426384,0.948938177,0.712465032,4.2238,1.13070634,3.091102,0.001991706
184,7.08833649,0.88645094,0.65616232,0.64667919,0.730932884,7.713477,0.69841435,3.714799,3.300264
185,8.17927495,0.50333949,0.97855406,0.035277767,0.472487921,9.385284,1.99988993,7.078826,0.3065675
186,3.33532881,0.87705754,0.23216115,0.596448456,0.862510687,5.523198,0.75340711,1.590936,3.178855
187,8.019332,0.18919362,0.2408116,0.415318002,0.165415122,6.58992,1.11997265,1.6187,3.851247
188,8.12474415,0.75810305,0.79683608,0.076897038,0.620427926,8.342369,1.37775833,4.921789,2.042821
189,6.68650949,0.72449889,0.83167172,0.528048879,0.292331395,9.574105,1.52285487,5.276924,2.774326
190,3.21921847,0.94372482,0.11350771,0.962333309,0.456141734,1.606972,0.35174832,1.254849,0.000374417
191,8.14729375,0.54764659,0.96331202,0.708740051,0.045639209,11.626964,1.97763586,6.866291,2.783037
192,5.01475967,0.71174387,0.1473229,0.553475704,0.177661752,5.8174,1.57357069,1.342651,2.901179
193,11.51092313,0.3889051,0.14362694,0.242956609,0.057932068,12.086088,1.87942008,1.332763,8.873905
194,6.62301097,0.10087313,0.92522994,0.778042529,0.944410234,8.499826,0.62324917,6.362745,1.513832
195,7.07267796,0.92730209,0.5070356,0.651940943,0.342743474,6.497344,0.45281384,2.756802,3.287728
196,0.52456396,0.2832325,0.15485102,0.830245704,0.517950571,3.535366,1.55389314,1.363019,0.6184542
197,10.26154908,0.59057316,0.34830205,0.648550947,0.625245335,7.222955,1.91957954,2.006926,3.29645
198,7.98854395,0.1103606,0.65982103,0.479835794,0.237264854,7.253725,0.6796072,3.742082,2.832036
199,8.98436932,0.84050703,0.31177237,0.495064106,0.516123914,5.584645,0.96071441,1.865529,2.758401
200,9.87084932,0.31796368,0.35157341,0.379872591,0.806541828,8.582455,1.68176568,2.0201,4.88059
